timestamps,open,high,low,close,volume,amount
2022-12-27,3.35,3.39,3.34,3.38,1849633,793633877.0
2022-12-28,3.38,3.41,3.37,3.4,1755916,757611069.0
2022-12-29,3.39,3.4,3.34,3.38,1885666,809605996.0
2022-12-30,3.39,3.43,3.38,3.42,2983387,1293431442.0
2023-01-03,3.42,3.42,3.38,3.39,2428810,1047725002.0
2023-01-04,3.4,3.44,3.39,3.44,2351477,1022070423.0
2023-01-05,3.44,3.46,3.41,3.41,2017798,877204366.0
2023-01-06,3.41,3.43,3.39,3.42,1687138,731034157.0
2023-01-09,3.43,3.44,3.41,3.41,1666792,723302384.0
2023-01-10,3.42,3.42,3.38,3.38,1751259,755033290.0
2023-01-11,3.38,3.4,3.37,3.39,1349496,581583428.0
2023-01-12,3.39,3.4,3.37,3.38,1095531,471371597.0
2023-01-13,3.38,3.42,3.38,3.42,1310556,566908490.0
2023-01-16,3.42,3.44,3.41,3.42,2239501,972719257.0
2023-01-17,3.42,3.43,3.39,3.41,1348396,583427985.0
2023-01-18,3.41,3.43,3.41,3.42,1290402,559746084.0
2023-01-19,3.41,3.42,3.39,3.41,1311154,566876473.0
2023-01-20,3.41,3.42,3.4,3.41,1423234,615310375.0
2023-01-30,3.42,3.43,3.39,3.4,2451084,1060660579.0
2023-01-31,3.4,3.41,3.39,3.4,1687635,729242573.0
2023-02-01,3.4,3.41,3.38,3.39,1729253,745664750.0
2023-02-02,3.4,3.4,3.38,3.38,2020736,870185102.0
2023-02-03,3.38,3.39,3.37,3.38,1974191,848654204.0
2023-02-06,3.38,3.38,3.36,3.37,2162138,926939859.0
2023-02-07,3.37,3.39,3.36,3.37,1583521,680140869.0
2023-02-08,3.38,3.39,3.37,3.38,1294928,556550720.0
2023-02-09,3.37,3.39,3.37,3.38,1307659,562487646.0
2023-02-10,3.39,3.39,3.37,3.39,1202376,517287828.0
2023-02-13,3.38,3.39,3.37,3.37,1902540,817263325.0
2023-02-14,3.38,3.39,3.37,3.38,1064558,457865981.0
2023-02-15,3.38,3.39,3.36,3.37,2040446,875087611.0
2023-02-16,3.37,3.38,3.36,3.36,1894247,812550640.0
2023-02-17,3.36,3.38,3.36,3.36,1786395,766064990.0
2023-02-20,3.37,3.39,3.36,3.39,2339844,1004838515.0
2023-02-21,3.38,3.4,3.38,3.4,1678930,724398198.0
2023-02-22,3.4,3.4,3.38,3.38,937520,404187271.0
2023-02-23,3.39,3.4,3.38,3.38,1215628,523722564.0
