序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
5245,001221,悍高集团,63.84,-5.3,-3.57,115230.0,740559337.09,13.54,69.98,60.85,69.8,67.41,1.55,32.99,48.1,10.12,25536638400.0,2229589401.0,-0.02,0.02,313.74,313.74
1121,002276,万马股份,20.57,0.0,0.0,2501196.0,5256879940.03,8.51,21.95,20.2,20.92,20.57,1.7,24.83,41.66,3.53,20863941927.0,20719248124.0,0.0,-0.1,46.09,144.59
743,600699,均胜电子,37.3,0.95,0.35,2127577.0,8151909326.0,7.71,39.7,36.85,36.95,36.95,1.77,15.7,36.78,3.73,52058512000.0,50543500921.0,0.11,0.0,114.24,142.05
190,002611,东方精工,18.58,4.44,0.79,1480283.0,2704169605.33,8.99,18.85,17.25,17.8,17.79,1.37,14.77,28.45,4.23,22617180197.0,18620833396.0,-0.05,0.0,54.58,93.14
4102,002131,利欧股份,6.26,-2.8,-0.18,8558348.0,5309532079.72,7.61,6.48,5.99,6.46,6.44,0.69,14.63,44.33,3.22,42391334681.0,36619271971.0,0.16,0.16,82.51,104.58
278,002245,蔚蓝锂芯,20.32,3.25,0.64,1502258.0,3019761242.36,5.23,20.59,19.56,19.8,19.68,0.96,13.85,35.18,3.24,23440888592.0,22045998214.0,0.05,0.25,50.41,91.16
5031,000988,华工科技,88.25,-4.44,-4.1,1162121.0,10381276079.42,10.41,95.55,85.94,93.98,92.35,1.19,11.56,48.69,8.45,88735613893.0,88689984230.0,0.16,-0.73,89.95,104.76
269,600143,金发科技,21.74,3.33,0.7,2831439.0,6069407135.0,5.89,21.98,20.74,20.79,21.04,0.77,10.9,48.96,3.15,57319960033.0,56463683805.0,0.0,-0.05,111.07,154.57
216,300457,赢合科技,35.22,4.08,1.38,609048.0,2122109864.41,6.74,35.88,33.6,34.04,33.84,1.02,9.55,42.17,3.5,22861151012.0,22457147499.0,0.0,0.14,63.74,85.17
174,002050,三花智控,45.03,4.79,2.06,3322881.0,14718508895.75,7.47,45.71,42.5,42.8,42.97,0.96,9.02,44.91,6.52,189527934853.0,165905088691.0,0.07,0.36,71.48,93.59
394,002472,双环传动,51.69,2.4,1.21,660990.0,3417136030.75,6.93,53.5,50.0,50.48,50.48,0.89,8.76,38.03,4.75,43900308316.0,39024755031.0,0.04,0.1,57.21,70.03
3736,002008,大族激光,43.7,-2.41,-1.08,805441.0,3577396726.87,11.88,47.62,42.3,46.71,44.78,1.13,8.42,46.09,2.77,44993668930.0,41808839718.0,-0.11,-0.21,78.95,77.21
4213,002555,三七互娱,21.59,-2.92,-0.65,1339082.0,2900562439.73,5.8,22.4,21.11,22.06,22.24,1.09,8.37,17.05,3.67,47762211533.0,34521703856.0,0.05,0.05,22.53,45.39
4169,300724,捷佳伟创,91.46,-2.87,-2.7,233339.0,2134680744.73,6.46,95.16,89.08,94.0,94.16,0.97,8.13,8.69,2.54,31801884576.0,26261461212.0,-0.03,-0.09,69.53,47.49
4919,001389,广合科技,81.63,-4.1,-3.49,120222.0,988885950.28,9.97,88.49,80.0,87.5,85.12,0.85,8.0,35.31,10.23,34711933050.0,12264301805.0,-0.01,-0.05,36.0,63.85
4612,000034,神州数码,44.03,-3.49,-1.59,458014.0,2033226732.98,7.1,46.32,43.08,45.95,45.62,0.96,7.61,37.18,2.93,31710236661.0,26488115265.0,-0.02,-0.05,18.68,26.56
2609,002145,中核钛白,5.75,-1.54,-0.09,2798660.0,1598043303.78,6.16,5.88,5.52,5.78,5.84,1.59,7.51,42.22,1.82,21888365052.0,21441019112.0,0.0,-0.17,38.55,36.26
184,300274,阳光电源,143.54,4.6,6.31,1186586.0,17037310345.25,8.27,148.55,137.2,137.2,137.23,1.21,7.46,19.24,7.0,297588767801.0,228186894309.0,0.22,0.19,108.97,97.28
3857,000021,深科技,22.73,-2.53,-0.59,1128624.0,2551410321.84,4.93,23.28,22.13,23.28,23.32,1.11,7.2,39.42,2.89,35624289652.0,35618577035.0,0.09,-0.04,21.36,20.46
977,600522,中天科技,17.24,0.35,0.06,2367042.0,4104387109.0,6.52,17.97,16.85,17.8,17.18,1.3,6.94,18.77,1.65,58839252000.0,58839252000.0,0.0,0.12,22.01,22.97
